  0/598
  150/598
  300/598
  450/598
retinexformer  기준 24.4382
   glob       +0.2057 dB 95%[+0.049,+0.460] p=0.0005 개선 14/50 최악 -0.37
   chan       -0.9659 dB 95%[-1.531,-0.261] p=0.0032 개선 15/50 최악 -8.93
   loc        -2.5617 dB 95%[-3.377,-1.700] p=0.0000 개선 9/50 최악 -8.98
   glob+loc   -2.8675 dB 95%[-3.648,-2.082] p=0.0000 개선 7/50 최악 -8.98
   chan+loc   -4.0612 dB 95%[-4.972,-2.952] p=0.0000 개선 6/50 최악 -12.16
snrnet         기준 22.8672
   glob       +0.0535 dB 95%[+0.007,+0.105] p=0.0182 개선 12/50 최악 -0.25
   chan       -1.1092 dB 95%[-1.691,-0.430] p=0.0001 개선 16/50 최악 -8.15
   loc        -2.1856 dB 95%[-2.806,-1.410] p=0.0000 개선 7/50 최악 -6.73
   glob+loc   -2.2599 dB 95%[-2.894,-1.437] p=0.0000 개선 7/50 최악 -7.83
   chan+loc   -3.6991 dB 95%[-4.523,-2.484] p=0.0000 개선 7/50 최악 -11.93
lightendiff    기준 17.0926
   glob       +0.0503 dB 95%[+0.016,+0.097] p=0.0002 개선 18/50 최악 -0.09
   chan       -0.0217 dB 95%[-0.443,+0.323] p=0.8834 개선 28/50 최악 -4.90
   loc        -0.2982 dB 95%[-0.742,+0.154] p=0.2040 개선 21/50 최악 -4.61
   glob+loc   -0.2793 dB 95%[-0.737,+0.205] p=0.2685 개선 21/50 최악 -4.61
   chan+loc   -0.5004 dB 95%[-1.167,+0.132] p=0.1245 개선 23/50 최악 -6.63
